#TOP	Genes more expressed in NGT class
#BOTTOM	      Genes more expressed in DM2/IGT class
219666_at	4.5308394432
200941_at	4.2713012695
221559_s_at	3.957174778
200885_at	3.9373190403
219244_s_at	3.7689547539
213348_at	3.6691555977
220547_s_at	3.6681389809
218034_at	3.6675622463
213882_at	3.6644370556
211474_s_at	3.6036500931
216111_x_at	3.5995264053
220303_at	3.591499567
212161_at	3.542211771
219095_at	3.5274851322
203614_at	3.4886689186
213481_at	3.4843981266
212528_at	3.410946846
205255_x_at	3.4027850628
201338_x_at	3.3618891239
216812_at	3.2983574867
203786_s_at	3.2506062984
201886_at	3.2485806942
220244_at	3.1858713627
215091_s_at	3.185323
201577_at	3.1515824795
217075_x_at	3.1514825821
212805_at	3.1490232944
213080_x_at	3.1474809647
202125_s_at	3.1394815445
206716_at	3.1252532005
215307_at	3.1241257191
207909_x_at	3.1045684814
220267_at	3.0998179913
206874_s_at	3.0858273506
201867_s_at	3.0814945698
201114_x_at	3.0743272305
210835_s_at	3.0442922115
202349_at	3.0388922691
203288_at	3.0281581879
215149_at	3.0135936737
202317_s_at	3.0084557533
201194_at	2.994515419
52005_at	2.9869351387
201039_s_at	2.9851219654
217053_x_at	2.9569501877
205134_s_at	2.9508872032
209065_at	2.9465053082
215385_at	2.8993356228
208250_s_at	2.8981304169
210079_x_at	2.895983696
219076_s_at	2.8806612492
218909_at	2.8795301914
219888_at	2.8645291328
221046_s_at	2.8607506752
212277_at	2.8525073528
217988_at	2.8499433994
219392_x_at	2.8496210575
218552_at	2.8425011635
216709_at	2.8362176418
218200_s_at	2.8348662853
201631_s_at	2.8323118687
220137_at	2.8220937252
205595_at	2.8043737411
209811_at	2.8038959503
214306_at	2.7987220287
219963_at	2.7968189716
212080_at	2.7891311646
212990_at	2.787958622
220255_at	2.7869524956
221804_s_at	2.7741701603
202453_s_at	2.7622842789
209224_s_at	2.7539358139
203910_at	2.7518754005
215798_at	2.7343108654
218150_at	2.733907938
217809_at	2.7318484783
212994_at	2.7268249989
213219_at	2.7252955437
217603_at	2.7218792439
217947_at	2.7169497013
209384_at	2.7126276493
212840_at	2.7050375938
219358_s_at	2.7043626308
217835_x_at	2.6987359524
221949_at	2.6958093643
219206_x_at	2.6817712784
217819_at	2.6801633835
218032_at	2.6756770611
218290_at	2.6569061279
206851_at	2.6510798931
210434_x_at	2.6469399929
213139_at	2.6461825371
218517_at	2.6334626675
214856_at	2.633428812
205872_x_at	2.6271615028
205548_s_at	2.6247382164
218953_s_at	2.6246988773
221245_s_at	2.6244502068
218773_s_at	2.6182956696
207365_x_at	2.6118929386
203699_s_at	2.6031746864
202451_at	2.6015644073
218225_at	2.5901269913
221290_s_at	2.5851032734
201254_x_at	2.5770733356
215359_x_at	2.5723891258
208238_x_at	2.564729929
215483_at	2.5632534027
200767_s_at	2.5586736202
202540_s_at	2.5539650917
204320_at	2.5497143269
211730_s_at	2.5360369682
213136_at	2.5351638794
201634_s_at	2.5342037678
217806_s_at	2.5316736698
215414_at	2.5316545963
222028_at	2.5291965008
200002_at	2.5260441303
205225_at	2.5250916481
201227_s_at	2.5220832825
219853_at	2.5179450512
217696_at	2.5178585052
220647_s_at	2.516610384
218614_at	2.5101287365
219379_x_at	2.5052793026
212634_at	2.5023474693
204620_s_at	2.4963793755
56821_at	2.4922354221
209695_at	2.4893443584
204447_at	2.484295845
205117_at	2.4818818569
208746_x_at	2.4804894924
208836_at	2.4776761532
208443_x_at	2.472982645
203741_s_at	2.4720304012
214696_at	2.4713015556
217341_at	2.4686644077
213955_at	2.4666993618
220648_at	2.4664068222
208015_at	2.4620010853
217760_at	2.4572298527
215280_s_at	2.4531800747
219216_at	2.4528560638
213750_at	2.4515988827
201460_at	2.4494841099
218853_s_at	2.4489591122
214150_x_at	2.4317133427
221996_s_at	2.4277331829
208154_at	2.4237625599
203742_s_at	2.4197692871
216638_s_at	2.4197056293
221858_at	2.4182276726
213162_at	2.4180481434
215947_s_at	2.4121339321
59697_at	2.412113905
203260_at	2.4116375446
214052_x_at	2.4094955921
208101_s_at	2.4052963257
221572_s_at	2.4027118683
218104_at	2.39833951
219523_s_at	2.3938064575
216951_at	2.3933696747
216746_at	2.3932507038
218815_s_at	2.3889451027
201470_at	2.3883020878
206790_s_at	2.3865625858
202074_s_at	2.3855485916
217845_x_at	2.3808457851
204640_s_at	2.3798406124
207335_x_at	2.375639677
221282_x_at	2.374465704
214088_s_at	2.3693344593
210074_at	2.3689246178
214598_at	2.3655800819
201354_s_at	2.3655381203
217844_at	2.3645708561
219301_s_at	2.3624167442
201505_at	2.361289978
221047_s_at	2.3600950241
213821_s_at	2.3593187332
207061_at	2.3584508896
203430_at	2.3575804234
209964_s_at	2.3557343483
205968_at	2.3544158936
214454_at	2.3530592918
201346_at	2.3498747349
202144_s_at	2.3497955799
204570_at	2.3488149643
213179_at	2.3472230434
205343_at	2.3468379974
206613_s_at	2.3421273232
219786_at	2.3404116631
208200_at	2.3393492699
212346_s_at	2.3393242359
218721_s_at	2.3391807079
222101_s_at	2.3374745846
218194_at	2.3342602253
219067_s_at	2.3336575031
218362_s_at	2.3326349258
213846_at	2.3325641155
202893_at	2.3298385143
203339_at	2.3289198875
202000_at	2.3272709846
212537_x_at	2.3264796734
