#term	term_size	term_size_in_genome	annotated_genes	converged	lor	adj_pvalue
translational initiation(GO:0006413)	7	419	RPL19,RPL11,EIF2S3,RPS6,RPL38,EIF5,EIF4G2	true	-0.331438807883593	0.048424566012723
translational elongation(GO:0006414)	7	294	RPL19,RPL11,RPS6,RPL38,TCEA1,HBS1L,EEF2	true	-0.536918940324427	0.00108699696274036
intracellular signal transduction(GO:0035556)	22	1307	AGTR2,MARK2,RALGPS1,RGS6,IL4R,DOK1,RPS6KA3,DUSP1,TRAF3IP2,DLG5,INPP5D,CNIH,SMAD6,SMAD3,ENG,PSEN2,HCLS1,NPR1,ASB6,PRKCA,PRKD3,MAP3K3	true	0.1628951492229	0.00322077541106521
G2/M transition of mitotic cell cycle(GO:0000086)	11	409	CCNA1,MYBL2,BTRC,PLK4,PPM1D,OPTN,DCTN1,CKAP5,ACTR1A,KHDRBS1,PPP1R12A	true	0.160877242653682	0.035299956306173
protein folding(GO:0006457)	12	581	CRYAB,DNAJB1,TOR3A,TBCE,TBCC,FKBP6,BAG2,CKAP1,SACS,PPIF,LEPRE1,PIGK	true	0.178172497889985	0.0127401972187376
regulation of ion transmembrane transport(GO:0034765)	8	441	KCNK3,KCNK15,HCN3,HCN2,CACNA2D3,CACNA1A,CATSPER2,KCNJ13	true	-0.369115332259202	0.0192693838735952
translational termination(GO:0006415)	6	246	RPL19,RPL11,RPS6,RPL38,GSPT1,GSPT2	true	-0.372477641102824	0.0390463523480414
epidermal growth factor receptor signaling pathway(GO:0007173)	6	513	PTK2B,PXN,EPS8,CALM1,PRKCA,PIK3R1	true	0.231904291308296	0.0122644730053217
mRNA processing(GO:0006397)	22	1109	GTF2H2,TTF2,SF3A1,NCBP2,RALY,SNRPD3,ASCC3L1,CNOT7,DDX23,PABPN1,SNRPB2,DDX47,CPSF6,CPSF4,TSEN34,ADARB2,MAGOH,SNRPG,PCBP2,KHDRBS1,C1QBP,SCNM1	true	0.124664819225116	0.0327344011825293
mRNA splicing, via spliceosome(GO:0000398)	11	408	SF3A1,NCBP2,RALY,SNRPD3,ASCC3L1,DDX23,PABPN1,SNRPB2,MAGOH,SNRPG,PCBP2	true	0.157084636099108	0.041030177648361
cell death(GO:0008219)	42	2493	DLC1,L1CAM,OGT,TNFRSF6B,MAP2K4,BSCL2,PTK2B,PLSCR3,ZNF592,EEF2,HSPB3,ADORA2A,CACNA1A,FOSL2,PKN2,INPP5D,COL4A3,OLR1,MAL,VAPA,OPTN,DCTN1,COASY,FBXO7,SFRP5,NTRK1,SPG7,BID,YWHAZ,CYLD,PSMD10,RAD21,MX1,GML,SACS,PSMD8,MFN2,EIF4G2,C1QBP,HAND2,ATXN2,IGFBP3	true	0.0953070655829748	0.0356417075595491
response to cAMP(GO:0051591)	6	60	BSG,PTK2B,DUSP1,FOSL2,ALDH3A1,FOS	true	0.196909801703194	0.0417885193855666
potassium ion transmembrane transport(GO:0071805)	6	327	KCNK3,KCNK15,HCN3,HCN2,KCNJ13,KCNQ1	true	-0.376286774891446	0.0370087795409554
hippocampus development(GO:0021766)	5	55	PTPRS,MAS1,RELN,CDK5R1,DLX2	true	-0.462479167993134	0.0164259129260088
visual perception(GO:0007601)	12	371	PPEF2,FSCN2,ROM1,VSX1,RBP3,GPR143,RIMS1,CRYZ,SFRP5,CRYBA4,RS1,EML2	true	-0.31492879581004	0.0152014738103414
mitotic nuclear envelope disassembly(GO:0007077)	5	88	NUP205,NUP37,NEK9,NUP43,EMD	true	0.212292925689622	0.0400433512297681
