#term	term_size	term_size_in_genome	list1_positives	list1_negatives	list1_percentage	list2_positives	list2_negatives	list2_percentage	list1_positive_ids	list2_positive_ids	odds_ratio_log	pvalue	adj_pvalue
blood coagulation(GO:0007596)	17	1243	16	108	12.9	1	104	0.95	KIFC1,KNS2,ACTG1,KIF5A,KIF26A,KIF4A,KIF3B,KIF3A,KIF3C,KIF23,KIF22,KIF2C,KIF11,KIF9,ACTB,CENPE	HDAC1	2.7348483943E0	5.34102E-4	2.34106E-3
antigen processing and presentation of exogenous peptide antigen via MHC class II(GO:0019886)	20	308	20	104	16.13	0	105	0	KNS2,KIF5A,DCTN1,DCTN2,KIF26A,KIF4A,DNCI2,DNCI1,KIF3B,KIF3A,DNCL1,KIF3C,KIF23,KIF22,KIF2C,ACTR1A,ACTR1B,KIF11,CENPE,DNM2		17976.931349E300	3.89563E-6	3.68586E-5
apoptotic signaling pathway(GO:0097190)	10	368	0	124	0	10	95	9.52		BAK1,FADD,CFLAR,CASP8,CASP2,TNFRSF10B,TNFRSF25,CASP10,BAX,APAF1	-17976.931349E300	3.22165E-4	1.46764E-3
extrinsic apoptotic signaling pathway in absence of ligand(GO:0097192)	13	60	0	124	0	13	92	12.38		BAK1,BCL2A1,FADD,BCL2L10,MCL1,BCL2L2,BCL2L1,BOK,BAG3,CASP2,BCL2,BAX,IL2	-17976.931349E300	2.58257E-5	1.86856E-4
signal transduction(GO:0007165)	65	12690	19	105	15.32	46	59	43.81	ACTG1,KIF13B,MYO6,MYH2,MYH9,DCTN1,DNAH17,MYO9B,MYO9A,MYO1C,DNCL1,MYO1G,MYO10,DNAL4,MYH10,ACTB,CENPE,TIAF1,DNM2	IL18,CRADD,BAK1,BCL10,DFFA,BCL2A1,FADD,BCL2L10,RIPK2,TNFAIP3,CIAS1,MCL1,BCL2L2,BCL2L1,CFLAR,CARD9,SPHK2,CIDEB,MALT1,BRCA1,HDAC3,HDAC1,RTN4,BNIP3,BAG4,CASP9,BAG1,BOK,BAG3,CASP8,CASP1,CASP2,TNFRSF10A,CARD11,CARD14,TNFRSF10B,CARD15,BID,TNFRSF25,BCL2,PRKAA1,BIRC3,BIRC2,CASP10,BAX,APAF1	-1.4606253236E0	2.09001E-6	2.14226E-5
cellular protein modification process(GO:0006464)	17	7095	2	122	1.61	15	90	14.29	MYO3A,MYO3B	CBX4,RIPK2,TNFAIP3,MALT1,BRCA1,HDAC3,HDAC1,BCL2,DAD1,PRKAA1,BIRC7,BIRC6,BIRC5,BIRC3,BIRC2	-2.3191143949E0	2.49294E-4	1.32551E-3
cellular response to mechanical stimulus(GO:0071260)	12	137	0	124	0	12	93	11.43		CRADD,BAK1,BCL10,FADD,BNIP3,CASP5,BAG3,CASP8,CASP1,CASP2,TNFRSF10A,TNFRSF10B	-17976.931349E300	6.02599E-5	3.90104E-4
cell death(GO:0008219)	66	2493	8	116	6.45	58	47	55.24	OPA1,KIF5A,DCTN1,DNCL1,KIF1C,KIF1B,TIAF1,DNM2	BAK1,BIRC8,API5,BCL10,DFFA,DFFB,HRK,FADD,BCL2L13,NME6,RIPK2,TNFAIP3,TNFRSF6B,CIAS1,BCL2L1,PEA15,CFLAR,CIDEB,CIDEA,CARD6,BRCA1,BFAR,RTN4,IER3,HTATIP2,BNIP3,PDCD2,CASP5,BAG5,CASP4,CASP9,BAG1,BOK,CASP8,CASP1,CASP2,EBAG9,NOL3,TNFRSF10A,CARD14,TNFRSF10B,BNIP1,BNIP2,AVEN,FAIM2,BID,TNFRSF25,BCL2,DAD1,BIRC7,BIRC6,BIRC5,BIRC3,BIRC2,CASP10,BAX,BIK,APAF1	-2.8844440583E0	7.62872E-17	2.34583E-15
transport(GO:0006810)	48	10681	38	86	30.65	10	95	9.52	KIF13A,KIF13B,OPA1,MYO6,KIF5B,KIF5A,KIF5C,MYH2,MYH9,MYH8,DCTN1,MYH7B,KIF4A,DNCI2,DNCI1,KIF3B,KIF3A,MYO1C,MYO1B,MYO1E,DNCL1,MYO1D,KIF3C,MYO10,MYH11,ACTR1A,KIF14,KIF17,KIF1C,KIF1B,MYO5A,DNAH7,APPBP2,MYO5B,CENPE,DNM1,DNM2,KIF20A	BAK1,MCL1,BCL2L1,PEA15,MALT1,HTATIP2,BNIP1,BCL2,BIRC6,BAX	1.4345306621E0	7.94267E-5	4.65214E-4
regulation of apoptotic process(GO:0042981)	41	632	0	124	0	41	64	39.05		CRADD,BAK1,BCL10,BCL2A1,FADD,BCL2L13,BCL2L10,RIPK2,MCL1,BCL2L2,BCL2L1,PEA15,CFLAR,CARD9,CIDEB,CIDEA,MALT1,CARD6,BRCA1,RTN4,DEDD,CASP5,CASP4,CASP9,BOK,CASP8,CASP1,CASP2,NOL3,CARD10,CARD11,CARD14,TNFRSF10B,CARD15,TNFRSF25,BCL2,BIRC3,BIRC2,CASP10,BAX,APAF1	-17976.931349E300	6.81064E-17	2.34583E-15
positive regulation of cell proliferation(GO:0008284)	9	883	0	124	0	9	96	8.57		BCL2L1,SPHK2,HDAC1,CARD15,BCL2,PRKAA1,BIRC6,BIRC5,IL2	-17976.931349E300	7.38294E-4	2.83782E-3
