#term	term_size	term_size_in_genome	list1_positives	list1_negatives	list1_percentage	list2_positives	list2_negatives	list2_percentage	list1_positive_ids	list2_positive_ids	odds_ratio_log	pvalue	adj_pvalue
GO:0006810	51	3364	36	88	29.03	15	90	14.29	MYO5B,MYH9,KIF3B,MYH7B,MYH6,MYH7,KIF13B,MYO5A,MYO1E,KIF4A,CENPE,DNM1,KIF3A,MYH11,ACTR1A,KIF20A,KIF5B,KIF13A,MYO6,MYO7A,DNM2,KIF1C,MYH13,MYH8,MYH4,MYH2,APPBP2,MYO9B,MYO1F,MYO1C,MYH10,MYH3,OPA1,DNAH7,KIF1B,KIF17	MALT1,BCL2,CIDEA,BID,BCL2L1,BNIP3,IL2,BNIP1,BAK1,CASP1,HTATIP2,BRCA1,BAX,IL10,PEA15	897941.59321E-6	1.03517E-2	2.71939E-2
GO:0008104	19	1156	11	113	8.87	8	97	7.62	MYO5B,MYH9,KIF13B,CENPE,KIF20A,KIF13A,MYO6,APPBP2,MYO1C,DNAH7,KIF17	BCL2,CIDEA,BID,IL2,CASP1,BRCA1,BAX,IL10	165776.89091E-6	8.12874E-1	8.43452E-1
GO:0015031	17	1031	11	113	8.87	6	99	5.71	MYO5B,MYH9,KIF13B,CENPE,KIF20A,KIF13A,MYO6,APPBP2,MYO1C,DNAH7,KIF17	CIDEA,BID,IL2,CASP1,BRCA1,IL10	473867.83499E-6	4.52026E-1	5.21326E-1
GO:0045184	17	1040	11	113	8.87	6	99	5.71	MYO5B,MYH9,KIF13B,CENPE,KIF20A,KIF13A,MYO6,APPBP2,MYO1C,DNAH7,KIF17	CIDEA,BID,IL2,CASP1,BRCA1,IL10	473867.83499E-6	4.52026E-1	5.21326E-1
GO:0051234	52	3385	36	88	29.03	16	89	15.24	MYO5B,MYH9,KIF3B,MYH7B,MYH6,MYH7,KIF13B,MYO5A,MYO1E,KIF4A,CENPE,DNM1,KIF3A,MYH11,ACTR1A,KIF20A,KIF5B,KIF13A,MYO6,MYO7A,DNM2,KIF1C,MYH13,MYH8,MYH4,MYH2,APPBP2,MYO9B,MYO1F,MYO1C,MYH10,MYH3,OPA1,DNAH7,KIF1B,KIF17	MALT1,BCL2,CIDEA,BID,BCL2L1,BNIP3,IL2,BNIP1,BAK1,CASP1,HTATIP2,BRCA1,BAX,BIRC5,IL10,PEA15	822229.77147E-6	1.71631E-2	3.63651E-2
GO:0007017	41	294	39	85	31.45	2	103	1.9	DNAL4,MYH9,KIF3B,KIF13B,KIF26A,KIF4A,KIF23,CENPE,KIF3A,DNAH3,DNAH5,KIF22,KIF20A,KIF11,KIF5B,KIFC3,KIF13A,DNAH11,DNAH8,KIFC1,KIF25,DCTN2,KIF5A,KIF1C,DNAH9,DNAH2,DNAH17,OPA1,DNAH1,KIF9,DNAH12,DNAH7,KIF3C,KIF5C,DNAH14,KIF14,KIF1B,KIF17,KIF2C	BRCA1,BIRC5	3.1624921973E0	4.82871E-10	9.40179E-9
GO:0007018	38	133	37	87	29.84	1	104	0.95	DNAL4,KIF3B,KIF13B,KIF26A,KIF4A,KIF23,CENPE,KIF3A,DNAH3,DNAH5,KIF22,KIF20A,KIF11,KIF5B,KIFC3,KIF13A,DNAH11,DNAH8,KIFC1,KIF25,KIF5A,KIF1C,DNAH9,DNAH2,DNAH17,OPA1,DNAH1,KIF9,DNAH12,DNAH7,KIF3C,KIF5C,DNAH14,KIF14,KIF1B,KIF17,KIF2C	BRCA1	3.7894006931E0	2.41183E-10	4.98947E-9
GO:0001568	11	288	3	121	2.42	8	97	7.62	MYO18B,MYH9,MYO1E	BAK1,IL18,HTATIP2,BRCA1,SPHK2,BAX,CASP8,RTN4	-1.2019088201E0	1.17519E-1	1.66948E-1
GO:0001701	9	190	6	118	4.84	3	102	2.86	MYO18B,MYH9,MYH6,MYO1E,KIF3A,MYH10	BCL2L1,DAD1,BRCA1	547435.36938E-6	5.13022E-1	5.79557E-1
GO:0001944	11	294	3	121	2.42	8	97	7.62	MYO18B,MYH9,MYO1E	BAK1,IL18,HTATIP2,BRCA1,SPHK2,BAX,CASP8,RTN4	-1.2019088201E0	1.17519E-1	1.66948E-1
GO:0007275	47	3147	21	103	16.94	26	79	24.76	MYO18B,MYH9,KIF3B,MYH6,MYH7,MYO5A,MYO1E,CENPE,KIF3A,MYH11,DNAH11,MYO6,ACTB,MYO7A,MYO15A,MYH10,MYH3,ACTG1,DCTN1,KIF5C,ACTA1	MALT1,BCL2,BIK,BCL2L1,BCL2L2,DAD1,IL2,SPP1,BAG1,CARD11,BAK1,IL18,HTATIP2,BIRC2,APAF1,FAIM2,AATF,BRCA1,SPHK2,BAX,BIRC5,CASP8,RTN4,IL10,MCL1,BCL10	-478855.23606E-6	1.88695E-1	2.48836E-1
GO:0007507	8	230	6	118	4.84	2	103	1.9	MYO18B,MYH6,MYH7,KIF3A,MYH11,MYH10	BRCA1,CASP8	962656.65243E-6	2.94167E-1	3.63318E-1
GO:0007517	11	298	9	115	7.26	2	103	1.9	MYO18B,MYH9,MYH6,MYH7,MYH11,MYH10,MYH3,ACTG1,ACTA1	BCL2,BRCA1	1.3938742566E0	6.90169E-2	1.05275E-1
